So Number,Customer Id,Customer Po Number,Order Date,Quote Id,Sales Rep Id,Entered By,Order Source,Payment Terms,Ship Via,Freight Terms,Order Total,Credit Hold,Order Status,Invoiced
SO-26368,KBD-CUST0030 ,PO689593,2025-11-30,,E023,E018,Email,Net 30,Customer Pickup,Prepaid & Add,19083.26,N,Partially Shipped,Y
SO-26369,KBD-CUST0031,PO815097,2025-04-15,,E019,E025,EDI 850,Net 45,LTL - XPO,Collect,199.14,N,Closed,Y
SO-26370,KBD-CUST0029,P531647,2025-10-04,,E013,E015,Email,Net 30,FedEx Ground,Collect,18803.8,N,Closed,Y
SO-26371,KBD-CUST0027,PO443233,2025-12-17,,E022,E015,Email,Net 30,FedEx Ground,Prepaid & Add,2600.78,N,Closed,Y
SO-26372,KBD-CUST0025,P235019,"Jan 15, 2026",,E021,E018,Email,Net 45,Customer Pickup,Prepaid & Add,6145.78,N,Closed,Y
SO-26373,KBD-CUST0029,4500932632,2025-05-26,,E013,E016,Phone,Net 30,FedEx Ground,Prepaid & Add,5607.95,N,Partially Shipped,Y
SO-26374,KBD-CUST0021,PUR-507579,2026-03-29,Q-26091,E016,E017,EDI 850,2% 10 Net 30,LTL - Estes,Prepaid & Add,1868.54,N ,Open,N
SO-26375,KBD-CUST0020,PO969464,2025-10-14 ,,E019,E016,Email,Net 45,Company Truck,Collect,152.17,N,Partially Shipped,Y
SO-26376,KBD-CUST0014,PUR-928832,2025-12-31,,E014,E018,Phone,2% 10 Net 30,UPS Ground,Collect,4766.38,N,Partially Shipped,Y
SO-26377,KBD-CUST0031,4500217195,"Jun 26, 2025",,E019,E017,Phone,Net 45,LTL - XPO,Prepaid,16815.11,N,Partially Shipped,Y
SO-26378,KBD-CUST0010,4500317971,"Jan 15, 2026",,E018,E018,EDI 850,Net 30,LTL - Estes,Prepaid & Add,32510.39,N,Closed,Y
SO-26379,KBD-CUST0028,PO596746,2025-07-16,,E021,E014,Phone,Net 45,UPS Ground,Collect,15461.21,N,Closed,Y
SO-26380,KBD-CUST0026,P709723,2026-03-04,Q-26092,E019,E025,Portal,COD,Company Truck,Prepaid & Add,4968.26,N,Closed,Y
SO-26381,KBD-CUST0020,PUR-956582,2026-03-11,,E019,E013,Portal,Net 45,Company Truck,Prepaid & Add,30878.95,N,Open,N
SO-26382,KBD-CUST0016,PUR-749212,2025-06-29,,E016,E018,Portal,Net 30,FedEx Ground,Prepaid,10688.51,N,Closed,Y
SO-26383,KBD-CUST0022,PUR-489820,2025-07-13,,E018,E013,Portal,Net 60,UPS Ground,Prepaid & Add,7799.53,Y,Closed,Y
SO-26384,KBD-CUST0026,P104971,2025-10-31,,E019,E013,Email,COD,Company Truck,Prepaid & Add,28643.52,N,Partially Shipped,Y
SO-26385,KBD-CUST0024,P747509,2026-01-27,,E022,E015,Email,Net 45,Company Truck,Prepaid & Add,16007.43,N,Partially Shipped,Y
SO-26386,KBD-CUST0001,4500975376,2025-06-11,,E018,E015,EDI 850,Net 30,Customer Pickup,Prepaid & Add,417.6,N,Closed,Y
SO-26387,KBD-CUST0021,4500981031,2025-11-28,,E016,E015,Portal,2% 10 Net 30,LTL - Estes,Prepaid & Add,10686.68,N,Closed,Y
SO-26388,KBD-CUST0004,PO980299,17-May-2025,,E016,E024,Email,Net 60,Customer Pickup,Collect,9498.97,N,Partially Shipped,Y
SO-26389 ,KBD-CUST0005,4500102089,2025-12-02,,E022,E013,Phone,Net 30,UPS Ground,Prepaid,11986.17,N,Closed,Y
SO-26390,KBD-CUST0003,4500418477,2026-02-12,,E021,E018,Email,Net 30,FedEx Ground,Prepaid & Add,6568.82,N,Closed ,Y
SO-26391,KBD-CUST0022,PO121122,2025-04-22,,E018,E024,Portal,Net 60,UPS Ground,Prepaid,271.27,N,Partially Shipped,Y
SO-26392,KBD-CUST0019,PUR-507670,2026-01-08,,E017,E024,EDI 850,Net 45,LTL - XPO,Prepaid,12276.84,N,Closed,Y
SO-26393,KBD-CUST0022,PUR-193452,2026-02-19,,E018,E018,Email,Net 60,UPS Ground,Prepaid & Add,8899.37,N,Partially Shipped,Y
SO-26394,KBD-CUST0021,P462268,2026-01-20,Q-26093,E016,E013,Phone,2% 10 Net 30,LTL - Estes,Collect,3053.8,N,Partially Shipped,Y
SO-26395,KBD-CUST0030,PUR-638706,2025-12-24,,E023,E014,Phone ,Net 30,Customer Pickup,Prepaid,21359.14,N,Closed,Y
SO-26396,KBD-CUST0025,PUR-755160,2025-05-12,,E021,E025,Phone,Net 45,Customer Pickup,Prepaid & Add,1679.42,N,Partially Shipped,Y
SO-26397,KBD-CUST0028,PO318455,2026-03-14,,E021,E014,EDI 850,Net 45,UPS Ground,Prepaid & Add,14289.39,N,Partially Shipped,Y
SO-26398,KBD-CUST0020,4500733641,2026-02-23,,E019,E025,Email,Net 45,Company Truck,Prepaid & Add,3843.03,N,Closed,Y
SO-26399,KBD-CUST0015,P141181,2025-10-02,,E020,E015,Email,Net 30,Customer Pickup,Prepaid,3637.39,N,Closed,Y
SO-26400,KBD-CUST0016,4500962815,2025-10-06,,E016,E025,Portal,Net 30 ,FedEx Ground,Collect,1091.66,N,Closed,Y
SO-26401,KBD-CUST0019,PO587570,2025-06-17,,E017,E017,EDI 850,Net 45,LTL - XPO,Collect,42949.48,N,Closed,Y
SO-26402,KBD-CUST0018,P277672,2025-10-12,,E014,E015,EDI 850,Net 45,FedEx Ground,Prepaid & Add,3943.9,N,Closed,Y
SO-26403,KBD-CUST0032,PO269473,2026-03-10,,E020,E025,Portal,Net 30,UPS Ground,Prepaid & Add,3348.48,N,Open,N
SO-26404,KBD-CUST0016,4500653933,11/12/25,Q-26094,E016,E014,Phone,Net 30,FedEx Ground,Collect,40242.61,N,Closed,Y
SO-26405,KBD-CUST0014,PO522790,2025-09-27,Q-26095,E014,E014,Email,2% 10 Net 30,UPS Ground,Prepaid & Add,4285.22,N,Closed,Y
SO-26406,KBD-CUST0018,PO376370,2026-03-19,,E014,E014,Email,Net 45,FedEx Ground,Prepaid & Add,16370.25,N,Closed,Y
SO-26407,KBD-CUST0029,PUR-190774,2026-03-30,,E013,E013,EDI 850,Net 30,FedEx Ground,Prepaid & Add,5023.22,N,Open,N
SO-26408,KBD-CUST0019,PO317529,04/26/25,,E017,E015,Phone,Net 45,LTL - XPO,Prepaid,11119.6,N,Closed,Y
SO-26409,KBD-CUST0022,4500733265,2025-08-03,,E018,E016,Phone,Net 60,UPS Ground,Prepaid & Add,7557.45,N,Closed,Y
SO-26410,KBD-CUST0008,P407190,2026-03-24,,E014,E013 ,Email,Net 60,LTL - Estes,Collect,1146.84,N,Open,N
SO-26411 ,KBD-CUST0030,PO204059,2025-10-23,,E023,E015,Email,Net 30,Customer Pickup,Prepaid & Add,3932.18,N,Partially Shipped,Y
SO-26412,KBD-CUST0025,PO503291,"Jan 26, 2026",Q-26096,E021,E014,Phone,Net 45,Customer Pickup,Collect,1274.66,N,Closed,Y 
SO-26413,KBD-CUST0011,PUR-149745,2026-01-06,,E014,E018,Phone,Net 30,Company Truck,Prepaid,28356.05,N,Closed,Y
SO-26414,KBD-CUST0006,PUR-815733,30-Apr-2025,,E023,E024,Email,Net 60,FedEx Ground ,Prepaid & Add,16219.83,N,Closed,Y
SO-26415,KBD-CUST0030,PO292720,2025-12-14,,E023,E024,EDI 850,Net 30,Customer Pickup,Prepaid & Add,21763.11,N,Closed,Y
SO-26416,KBD-CUST0012 ,PUR-963139,01/10/2026,,E019,E014,Email,Net 60,FedEx Ground,Prepaid,5060.52,N,Closed,Y
SO-26417,KBD-CUST0024,PO114586,2025-04-28,,E022,E017,EDI 850,Net 45,Company Truck,Prepaid,5810.42,N,Closed,Y
SO-26418,KBD-CUST0007,4500719021,2025-09-14,,E019,E025,Portal,Net 30,Company Truck,Prepaid & Add,607.74,N,Closed,Y
SO-26419,KBD-CUST0021,PO489520,2025-08-16,,E016,E016,Email,2% 10 Net 30,LTL - Estes,Collect,4565.48,N,Closed,Y
SO-26420,KBD-CUST0007,PO293035,2025-11-23,,E019,E024,Email,Net 30,Company Truck,Prepaid & Add,124.51,N,Partially Shipped,Y
SO-26421,KBD-CUST0017,PO281731,2025-04-22,,E017,E015,Phone,Net 45,FedEx Ground,Prepaid & Add,40346.11,N,Partially Shipped,Y
SO-26422,KBD-CUST0001,PUR-942247,2025-05-03,,E018,E016,Email,Net 30,Customer Pickup,Prepaid & Add,14152.39,N,Closed,Y
SO-26423,KBD-CUST0013,4500620365,2025-04-07,,E019,E017,EDI 850,Net 30,Customer Pickup,Prepaid & Add,11440.78,N,Closed,Y
SO-26424,KBD-CUST0005,4500752230,2025-08-18,Q-26097,E022,E017,Phone,Net 30,UPS Ground,Prepaid & Add,15416.82,N,Partially Shipped,Y
SO-26425,KBD-CUST0005,PO205284,2025-06-25,,E022,E018,Portal,Net 30,UPS Ground,Collect,290.98,N,Closed,Y
SO-26426,KBD-CUST0028,P269063,2025-07-29,Q-26098,E021,E017,Email,Net 45,UPS Ground,Prepaid,15233.84,N,Closed,Y
SO-26427,KBD-CUST0021,P372204,2025-07-07,Q-26099,E016,E018,Email,2% 10 Net 30,LTL - Estes,Prepaid & Add,1069.25,N,Closed,Y
SO-26428,KBD-CUST0017,P269212,08/07/25,,E017,E014,EDI 850,Net 45,FedEx Ground,Collect,36225.32,N,Closed ,Y
SO-26429,KBD-CUST0017,P865988,2025-12-24,,E017,E014,EDI 850,Net 45,FedEx Ground,Prepaid & Add,1551.1,N,Closed,Y 
SO-26430,KBD-CUST0030,4500504452,2026-01-07 ,Q-26100,E023,E025,EDI 850,Net 30,Customer Pickup,Collect,16361.7,N,Closed,Y
SO-26431,KBD-CUST0027 ,P211410,04/07/2025,,E022,E013,Email,Net 30,FedEx Ground,Collect,56633.56,N,Partially Shipped,Y
SO-26432,KBD-CUST0020,PUR-633105,2025-08-14,,E019,E013,Phone,Net 45,Company Truck,Collect,14204.96,N,Closed,Y
SO-26433,KBD-CUST0026,PUR-813523,2026-03-08,,E019,E017,Email,COD,Company Truck,Prepaid & Add,21023.48,N,Partially Shipped,Y
SO-26434,KBD-CUST0010,PUR-885793,2025-10-26,Q-26101,E018,E015,Phone,Net 30,LTL - Estes,Prepaid & Add,4621.4,N,Closed,Y
SO-26435,KBD-CUST0015,4500127028,2025-11-10,,E020,E024,Email,Net 30,Customer Pickup,Prepaid,22229.7,N,Closed,Y
SO-26436 ,KBD-CUST0010,P249932,2025-07-07,Q-26102 ,E018,E016,EDI 850,Net 30,LTL - Estes,Prepaid & Add,5008.48,N,Closed,Y
SO-26437,KBD-CUST0005,4500311975,2025-09-11,,E022,E014,Phone,Net 30,UPS Ground,Collect,21691.14,N,Closed,Y
SO-26438,KBD-CUST0006,P185066,2025-11-21,,E023,E014,EDI 850,Net 60,FedEx Ground,Prepaid,18155.35,N,Closed,Y
SO-26439 ,KBD-CUST0008,4500552572,2025-04-24,,E014,E024,Email,Net 60,LTL - Estes,Prepaid,25100.46,N,Closed,Y
SO-26440,KBD-CUST0022,PUR-107769,2025-06-07,,E018,E018,Phone,Net 60,UPS Ground,Prepaid,513.0,N,Closed,Y
SO-26441,KBD-CUST0023,PO824587,2025-09-23,,E015,E014,Portal,Net 60,UPS Ground,Prepaid,19247.81,N,Closed,Y
SO-26442,KBD-CUST0020,PO286978,2026-03-24,,E019,E016,EDI 850,Net 45,Company Truck,Prepaid & Add,10493.95,N,Open,N
SO-26443,KBD-CUST0016,4500744506,2025-06-22,,E016,E017,Email,Net 30,FedEx Ground,Prepaid,9852.36,N,Closed,Y
SO-26444,KBD-CUST0005,P233569,02/14/26,,E022,E013,Portal,Net 30,UPS Ground,Prepaid,27864.63,N,Closed,Y
SO-26445 ,KBD-CUST0020,P663444,2025-09-26,,E019,E013,Portal,Net 45,Company Truck,Prepaid & Add,14262.35,N,Closed,Y
SO-26446,KBD-CUST0022,4500348494,2025-12-23,,E018,E016,EDI 850 ,Net 60,UPS Ground,Prepaid & Add,13716.93,N,Closed,Y
SO-26447,KBD-CUST0031,PUR-183130,2025-08-26,,E019,E016,Portal,Net 45,LTL - XPO,Collect,5318.78,N,Closed,Y
SO-26448,KBD-CUST0030,P368172,2025-06-12,,E023 ,E014,Email,Net 30,Customer Pickup,Prepaid & Add,438.9,N,Closed,Y
SO-26449,KBD-CUST0028,PO150125,2025-07-08,,E021,E016,Portal ,Net 45,UPS Ground,Prepaid,7597.32,N,Closed,Y
SO-26450,KBD-CUST0017,4500851071,08/28/2025,Q-26103,E017,E018,Email,Net 45,FedEx Ground,Prepaid & Add ,832.95,N,Closed,Y
SO-26451,KBD-CUST0022,PUR-793697,2025-12-08,,E018,E017,Portal,Net 60,UPS Ground,Prepaid & Add ,473.0,N,Closed,Y
SO-26452,KBD-CUST0020,PUR-293028,2025-11-05,,E019,E015,Email,Net 45,Company Truck,Prepaid & Add,11168.79,N,Closed,Y
SO-26453,KBD-CUST0030,PUR-600506,2025-09-26,,E023,E013,Portal,Net 30,Customer Pickup,Prepaid & Add,13125.74,N,Partially Shipped,Y
SO-26454,KBD-CUST0012,P396192,2025-04-09,,E019,E025,Email,Net 60,FedEx Ground,Prepaid & Add,4.0,N,Closed,Y
SO-26455,KBD-CUST0010,PO643279,2025-06-28,,E018,E018,Email,Net 30,LTL - Estes,Prepaid,11024.18,N,Closed,Y
SO-26456,KBD-CUST0012,PUR-844594,2026-02-25,,E019,E024,Email,Net 60,FedEx Ground,Prepaid,6117.62,N,Partially Shipped,Y
SO-26457,KBD-CUST0015,P734945,2026-01-25,Q-26104,E020,E016,Phone,Net 30,Customer Pickup,Prepaid & Add,22052.31,N,Closed,Y
SO-26458,KBD-CUST0017,4500389771,2026-02-06,,E017,E017,Phone,Net 45,FedEx Ground,Collect,23581.11,N,Partially Shipped,Y
SO-26459,KBD-CUST0005,PUR-414835,2026-01-28,,E022,E015,Phone,Net 30,UPS Ground,Prepaid & Add,18339.15,N,Closed,Y
SO-26460,KBD-CUST0022,P903252,2026-02-14,,E018,E015,Portal,Net 60 ,UPS Ground,Prepaid,12085.49,N,Partially Shipped,Y
SO-26461,KBD-CUST0010,4500404924,2025-05-29,,E018,E024,EDI 850,Net 30,LTL - Estes,Prepaid & Add,17278.93,N,Closed,Y
SO-26462,KBD-CUST0027,4500737793,2025-05-18,,E022,E016,Email,Net 30,FedEx Ground,Prepaid & Add,4910.52,N,Partially Shipped,Y
SO-26463,KBD-CUST0018,PUR-799679,2026-03-26,Q-26105,E014,E016,Phone,Net 45,FedEx Ground,Prepaid & Add,14432.08,N,Open,N
SO-26464 ,KBD-CUST0022,PO417061,2025-04-20,,E018,E016,EDI 850,Net 60,UPS Ground,Collect,9156.82,N,Closed,Y
SO-26465,KBD-CUST0023,PO251407,"Sep 12, 2025",,E015,E016,Email,Net 60,UPS Ground,Prepaid & Add,18792.08,N,Closed,Y
SO-26466,KBD-CUST0024,PUR-186465,2025-05-08,,E022,E014,Portal,Net 45,Company Truck,Prepaid,7521.38,N,Partially Shipped,Y
SO-26467,KBD-CUST0023 ,PO483454,2025-10-23,,E015,E013,EDI 850,Net 60,UPS Ground,Collect,51597.42,N,Closed,Y
SO-26468,KBD-CUST0012,4500530424,2025-12-05,,E019,E024,Phone,Net 60,FedEx Ground,Collect,29514.31,N,Closed,Y
SO-26469,KBD-CUST0018,PUR-166719,2025-08-17,Q-26106,E014,E016,Email,Net 45,FedEx Ground,Prepaid & Add,1020.11,N,Closed,Y
SO-26470,KBD-CUST0023,PO596434,2025-12-03,Q-26107,E015,E024,EDI 850,Net 60,UPS Ground,Prepaid & Add,8492.74,N,Closed,Y
SO-26471,KBD-CUST0029,PO843490,2025-06-22,,E013,E024,EDI 850,Net 30,FedEx Ground,Prepaid,8137.51,N,Partially Shipped,Y
SO-26472,KBD-CUST0008,P362409,2026-01-04,,E014,E025,EDI 850,Net 60,LTL - Estes,Collect,67315.01,N,Closed,Y
SO-26473,KBD-CUST0026,PO643345,2025-05-08,Q-26108,E019,E018,Phone,COD,Company Truck,Collect,3334.37,N,Closed,Y
SO-26474,KBD-CUST0023,4500523607,2025-05-23,,E015,E015,Portal,Net 60,UPS Ground,Prepaid & Add,10220.35,N,Closed,Y
SO-26475,KBD-CUST0001,PO419486,2025-11-10,,E018,E025,EDI 850,Net 30,Customer Pickup ,Prepaid & Add,217.13,N,Open,N
SO-26476,KBD-CUST0018,PUR-752857,2025-07-07,Q-26109,E014,E025,Email,Net 45,FedEx Ground,Prepaid,9214.75,N,Closed,Y
SO-26477,KBD-CUST0014,4500849236,2026-03-09,,E014,E014,Email,2% 10 Net 30,UPS Ground,Prepaid & Add,6374.5,N,Open,N
SO-26478,KBD-CUST0004,P639694,2025-11-17,,E016,E017,Portal,Net 60,Customer Pickup,Prepaid,2529.87,N,Closed,Y
SO-26479,KBD-CUST0021,PO410444,2026-01-21,Q-26110,E016,E024,Email,2% 10 Net 30,LTL - Estes,Prepaid,4602.2,N,Closed,Y
SO-26480,KBD-CUST0020,PO239204,2026-03-04,,E019,E018,Phone,Net 45,Company Truck,Prepaid & Add,27824.61,N,Partially Shipped,Y
SO-26481,KBD-CUST0021,PUR-233569,2025-10-23,,E016 ,E015,Portal,2% 10 Net 30,LTL - Estes,Prepaid & Add,25575.48,N,Closed,Y
SO-26482,KBD-CUST0001,PO140756,2025-04-22,,E018,E017,Email,Net 30,Customer Pickup,Collect,3832.57,N,Closed,Y
SO-26483,KBD-CUST0006,4500943999,2025-05-25,,E023,E017,EDI 850,Net 60,FedEx Ground,Prepaid & Add,703.78,N,Closed,Y
SO-26484,KBD-CUST0006,PO950207,2026-03-13,,E023,E017,Portal,Net 60,FedEx Ground,Prepaid,8632.12,N,Open,N
SO-26485,KBD-CUST0026,PUR-876502,2025-10-16,,E019,E016,Email,COD,Company Truck,Prepaid & Add,21799.9,N,Closed,Y
SO-26486,KBD-CUST0005,P155897,2025-10-13,,E022,E016,Portal,Net 30,UPS Ground,Prepaid & Add,2707.25,N,Closed,Y
SO-26487,KBD-CUST0014,PUR-202971 ,2025-08-24,,E014,E017,Email,2% 10 Net 30,UPS Ground,Prepaid,437.89,N,Closed,Y
SO-26488,KBD-CUST0003,4500794103,2026-01-24,,E021,E017,Email,Net 30,FedEx Ground,Collect,6227.64,N,Partially Shipped,Y
SO-26489,KBD-CUST0003,P109343,2026-03-24,,E021,E024,Email,Net 30,FedEx Ground,Prepaid & Add,10197.53,N,Open,N
SO-26490,KBD-CUST0030,PO601362,2025-05-20,Q-26111,E023,E013,Portal,Net 30,Customer Pickup,Collect,23478.24,N,Closed,Y
SO-26491,KBD-CUST0015,PUR-401279,2025-06-30,,E020,E017,Email,Net 30,Customer Pickup,Prepaid & Add,12431.18,N,Closed,Y
SO-26492,KBD-CUST0019,PUR-483715,2025-08-02,,E017,E015,Email,Net 45,LTL - XPO,Prepaid,28237.25,N,Closed,Y
SO-26493,KBD-CUST0030,4500432840,2026-03-01,,E023,E016,Email,Net 30,Customer Pickup,Prepaid & Add,35700.83,N,Partially Shipped,Y
SO-26494,KBD-CUST0005,P853436,2025-10-02,,E022,E013,Phone,Net 30,UPS Ground,Prepaid & Add,23254.99,N,Closed,Y
SO-26495,KBD-CUST0029,PUR-807625,2025-05-14,,E013,E024,EDI 850,Net 30,FedEx Ground,Prepaid & Add ,25743.3,N,Closed,Y
SO-26496,KBD-CUST0029,4500382574,31-Jul-2025,,E013,E025 ,Phone,Net 30,FedEx Ground,Prepaid & Add,16798.54,N,Partially Shipped,Y
SO-26497,KBD-CUST0026,P695688,22-Jan-2026,,E019,E025,Email,COD,Company Truck,Prepaid & Add,15956.34,N,Closed,Y
SO-26498,KBD-CUST0015,P150254,2025-09-15,Q-26112,E020,E013,EDI 850,Net 30,Customer Pickup,Prepaid & Add,27235.43,N,Closed,Y
SO-26499,KBD-CUST0023,P524965,2025-10-30,,E015,E016,EDI 850,Net 60,UPS Ground,Prepaid & Add,15010.88,N,Closed,Y
SO-26500,KBD-CUST0004,PO559787,2025-09-23,,E016,E016,Email,Net 60,Customer Pickup,Prepaid & Add,15175.92,N,Closed,Y
SO-26501,KBD-CUST0007,P303017,2026-01-15,Q-26113,E019,E016,Email,Net 30,Company Truck,Prepaid,3368.38,N,Partially Shipped ,Y
SO-26502,KBD-CUST0028,P376043,2025-08-19,,E021,E014,Portal,Net 45,UPS Ground,Collect,249.88,N,Closed,Y
SO-26503,KBD-CUST0019,4500955720,2026-02-05,Q-26114,E017,E017,EDI 850,Net 45,LTL - XPO,Collect,4186.87,N,Closed,Y
SO-26504,KBD-CUST0021,P228704,2025-12-20,,E016,E016,Email,2% 10 Net 30,LTL - Estes,Prepaid,2108.6,N,Partially Shipped,Y
SO-26505,KBD-CUST0008,4500745159,2025-09-30,Q-26115,E014,E018,Portal,Net 60,LTL - Estes,Prepaid,40805.47,N,Partially Shipped,Y
SO-26506,KBD-CUST0021,PO525039,2025-12-17,,E016,E013,Email,2% 10 Net 30,LTL - Estes,Prepaid & Add,2244.63,N,Closed,Y
SO-26507,KBD-CUST0028,PUR-766220,2025-08-29,,E021,E016,Portal,Net 45,UPS Ground,Collect,3799.51,N,Closed,Y
SO-26508,KBD-CUST0020,P467547,10/03/25,,E019,E018,Email,Net 45,Company Truck,Prepaid,11788.41,N,Closed,Y
SO-26509,KBD-CUST0031,P912103,2025-07-07,,E019,E017,Email,Net 45,LTL - XPO,Prepaid,14064.17,N,Partially Shipped,Y
SO-26510,KBD-CUST0010,4500276692,2026-01-31,Q-26116,E018,E025,Portal,Net 30,LTL - Estes,Prepaid & Add,18935.82,N,Closed,Y
SO-26511,KBD-CUST0026,PO242263,2026-02-20,,E019,E024,Portal,COD,Company Truck,Prepaid,1400.5,N,Open,N
SO-26512,KBD-CUST0031,PO639147,2026-02-13,,E019,E025,Portal,Net 45,LTL - XPO,Collect,51420.28,N,Closed,Y
SO-26513,KBD-CUST0027,P493373,09/05/2025,Q-26117,E022,E025,EDI 850,Net 30,FedEx Ground,Collect,13739.09,N,Closed,Y
SO-26514,KBD-CUST0031,P528147,2025-09-09,Q-26118,E019,E017,EDI 850,Net 45,LTL - XPO,Prepaid ,14231.29,N,Closed,Y
SO-26515,KBD-CUST0014,PO361070,2025-04-10,,E014,E015,Portal,2% 10 Net 30,UPS Ground,Collect,9214.75,N,Closed,Y
SO-26516,KBD-CUST0030,4500673478,2025-08-28,,E023,E017,EDI 850,Net 30,Customer Pickup,Prepaid & Add,550.5,N,Closed,Y
SO-26517,KBD-CUST0024,P250059,2025-11-22,Q-26119,E022,E013,EDI 850,Net 45,Company Truck,Collect,25406.92,N,Closed,Y
SO-26518,KBD-CUST0010,PUR-810798,2025-05-12,,E018,E018,Email,Net 30,LTL - Estes,Prepaid & Add,21449.38,N,Closed,Y
SO-26519,KBD-CUST0023,PO859237,2025-07-23,,E015,E016,Email,Net 60,UPS Ground,Prepaid & Add,33947.99,N,Closed,Y
SO-26520,KBD-CUST0012,PUR-606295,2025-09-19,,E019,E014,Phone,Net 60,FedEx Ground,Prepaid & Add,860.06,N,Closed,Y
